treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,4,61.5516,0.0170,0.4800,0.0378,0.1766,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,5,68.9200,0.0185,0.4792,0.0332,0.1976,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,7,62.6635,0.0263,0.6372,0.0431,0.1722,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,8,56.6088,0.0312,0.6796,0.0456,0.5247,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,0,48.1298,0.0449,1.1197,0.0468,0.2501,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,1,48.9782,0.0403,1.1420,0.0489,0.2610,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,2,47.8619,0.0413,1.1398,0.0438,0.5355,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,3,49.2784,0.0482,1.1641,0.0450,0.2380,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,4,47.3261,0.0453,0.9083,0.0542,0.6608,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,5,51.8600,0.0499,0.8968,0.0463,0.3021,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,7,46.0764,0.0567,1.1357,0.0532,0.2389,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,8,41.8683,0.0582,1.1340,0.0615,0.2983,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,0,50.0187,0.0449,1.1197,0.0468,0.2501,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,1,50.5907,0.0403,1.1420,0.0489,0.2610,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,2,49.5569,0.0413,1.1398,0.0438,0.5355,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,3,51.4802,0.0482,1.1641,0.0450,0.2380,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,4,49.0815,0.0453,0.9083,0.0542,0.6608,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,5,54.2840,0.0499,0.8968,0.0463,0.3021,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,7,48.5429,0.0567,1.1357,0.0532,0.2389,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,8,44.1393,0.0582,1.1340,0.0615,0.2983,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,0,42.4795,0.0590,1.3836,0.0523,0.4963,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,1,43.0697,0.0544,1.3916,0.0561,0.3072,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,2,42.0713,0.0559,1.4065,0.0519,0.7058,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,3,43.6609,0.0623,1.4315,0.0617,0.3802,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,4,40.4077,0.0595,1.2050,0.0638,0.6425,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,5,43.7240,0.0695,1.2243,0.0659,0.4252,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,7,40.5429,0.0744,1.3863,0.0618,0.3088,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,8,37.1336,0.0741,1.3715,0.0725,0.3197,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,0,44.9099,0.0590,1.3836,0.0523,0.4963,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,1,45.2453,0.0544,1.3916,0.0561,0.3072,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,2,44.2595,0.0559,1.4065,0.0519,0.7058,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,3,46.2612,0.0623,1.4315,0.0617,0.3802,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,4,42.6523,0.0595,1.2050,0.0638,0.6425,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,5,46.6300,0.0695,1.2243,0.0659,0.4252,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,7,43.4893,0.0744,1.3863,0.0618,0.3088,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,14,diy_data\pimframes\control-20190731-tray5-14.tif,Fmp,t100_ALon,8,39.8569,0.0741,1.3715,0.0725,0.3197,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,0,39.2713,0.0736,1.5527,0.0554,0.6440,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,1,40.0682,0.0712,1.5398,0.0559,0.4290,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,2,39.2003,0.0701,1.5271,0.0614,0.4050,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,3,40.3562,0.0852,1.5493,0.0605,0.3350,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,4,36.2950,0.0712,1.3985,0.0623,0.4584,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,5,39.1420,0.0832,1.4368,0.0604,0.4419,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,7,36.8579,0.0958,1.5899,0.0707,0.4567,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,15,diy_data\pimframes\control-20190731-tray5-15.tif,Fp,t120_ALon,8,33.8912,0.0879,1.5801,0.0749,0.3980,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,0,42.2830,0.0736,1.5527,0.0554,0.6440,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,1,43.0131,0.0712,1.5398,0.0559,0.4290,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,2,41.9788,0.0701,1.5271,0.0614,0.4050,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,3,43.9947,0.0852,1.5493,0.0605,0.3350,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,4,38.9257,0.0712,1.3985,0.0623,0.4584,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,5,42.6280,0.0832,1.4368,0.0604,0.4419,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,7,40.5402,0.0958,1.5899,0.0707,0.4567,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,16,diy_data\pimframes\control-20190731-tray5-16.tif,Fmp,t120_ALon,8,36.9351,0.0879,1.5801,0.0749,0.3980,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,0,37.2667,0.0890,1.6798,0.0602,0.8606,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,17,diy_data\pimframes\control-20190731-tray5-17.tif,Fp,t140_ALon,1,38.7939,0.0896,1.5862,0.0772,0.3932,27.5600,True,True,stn7
