treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype,idate,measurement
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,3,49.2784,0.0482,1.1641,0.045,0.238,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,4,47.3261,0.0453,0.9083,0.0542,0.6608,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,5,51.86,0.0499,0.8968,0.0463,0.3021,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,7,46.0764,0.0567,1.1357,0.0532,0.2389,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,8,41.8683,0.0582,1.134,0.0615,0.2983,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,0,50.0187,0.0449,1.1197,0.0468,0.2501,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,1,50.5907,0.0403,1.142,0.0489,0.261,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,2,49.5569,0.0413,1.1398,0.0438,0.5355,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,3,51.4802,0.0482,1.1641,0.045,0.238,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,4,49.0815,0.0453,0.9083,0.0542,0.6608,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,5,54.284,0.0499,0.8968,0.0463,0.3021,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,7,48.5429,0.0567,1.1357,0.0532,0.2389,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,8,44.1393,0.0582,1.134,0.0615,0.2983,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,0,42.4795,0.059,1.3836,0.0523,0.4963,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,1,43.0697,0.0544,1.3916,0.0561,0.3072,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,2,42.0713,0.0559,1.4065,0.0519,0.7058,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,3,43.6609,0.0623,1.4315,0.0617,0.3802,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,4,40.4077,0.0595,1.205,0.0638,0.6425,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,5,43.724,0.0695,1.2243,0.0659,0.4252,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,7,40.5429,0.0744,1.3863,0.0618,0.3088,91.385,TRUE,TRUE,KEA3,1,IndC
